Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,OT_Flag,Notes
"Fri, Jan 27, 2017",7:30 PM,Brooklyn Nets,116,Cleveland Cavaliers,124,Box Score,,
"Fri, Jan 27, 2017",7:00 PM,Sacramento Kings,111,Indiana Pacers,115,Box Score,OT,
"Fri, Jan 27, 2017",8:00 PM,San Antonio Spurs,103,New Orleans Pelicans,119,Box Score,,
"Fri, Jan 27, 2017",7:30 PM,Charlotte Hornets,107,New York Knicks,110,Box Score,,
"Fri, Jan 27, 2017",8:00 PM,Houston Rockets,123,Philadelphia 76ers,118,Box Score,,
"Fri, Jan 27, 2017",10:00 PM,Memphis Grizzlies,109,Portland Trail Blazers,112,Box Score,,
"Fri, Jan 27, 2017",7:30 PM,Milwaukee Bucks,86,Toronto Raptors,102,Box Score,,
"Sat, Jan 28, 2017",7:00 PM,Sacramento Kings,109,Charlotte Hornets,106,Box Score,,
"Sat, Jan 28, 2017",8:30 PM,Los Angeles Clippers,98,Golden State Warriors,144,Box Score,,
"Sat, Jan 28, 2017",7:30 PM,Detroit Pistons,103,Miami Heat,116,Box Score,,
"Sat, Jan 28, 2017",8:00 PM,Boston Celtics,112,Milwaukee Bucks,108,Box Score,OT,
"Sat, Jan 28, 2017",9:00 PM,Brooklyn Nets,109,Minnesota Timberwolves,129,Box Score,,
"Sat, Jan 28, 2017",9:00 PM,Denver Nuggets,123,Phoenix Suns,112,Box Score,,
"Sat, Jan 28, 2017",9:00 PM,Memphis Grizzlies,102,Utah Jazz,95,Box Score,,
"Sun, Jan 29, 2017",3:00 PM,New York Knicks,139,Atlanta Hawks,142,Box Score,4OT,
"Sun, Jan 29, 2017",7:00 PM,Philadelphia 76ers,108,Chicago Bulls,121,Box Score,,
"Sun, Jan 29, 2017",3:30 PM,Oklahoma City Thunder,91,Cleveland Cavaliers,107,Box Score,,
"Sun, Jan 29, 2017",6:00 PM,Houston Rockets,101,Indiana Pacers,120,Box Score,,
